country,year,rank,reason,n
India,2025,Rank I,Potential for higher returns,2477
India,2025,Rank I,Investment strategy based on financial goals and risk appetite,2440
India,2025,Rank I,Long-term growth (building wealth over time),2310
India,2025,Rank I,Quick gains with small investments,2241
India,2025,Rank I,To build additional sources of income,2163
India,2025,Rank I,Good for short term investments,2113
India,2025,Rank I,Lower risk of losing money,2013
India,2025,Rank I,Protection against inflation,1844
India,2025,Rank I,Tax benefits or savings,1672
India,2025,Rank I,Diversifying my portfolio,1616
India,2025,Rank I,Regular Dividend payments,1550
India,2025,Rank I,Convenience and ease of investment,1325
India,2025,Rank I,Zero account opening charges/Ease of onboarding process,1268
India,2025,Rank I,Clear and immediate information about actual returns,1186
India,2025,Rank I,Lower fees and expenses compared to other investments,1086
India,2025,Rank I,My friends/acquaintances are currently investing in Stocks/shares,747
India,2025,Rank I,Interest in entering the stock market,487
India,2025,Rank I,To learn how this investment product works,456
India,2025,Rank I,Had extra funds to invest,396
India,2025,Rank I,Other (Please Specify),1
